Key	Value
在移除工作之时，正感觉有点无聊	Thoát khỏi một cái gì đó, cảm thấy một chút chán
万界天宫	Cung điện thế giới
神名	Tên là Tewa
变身成人形态	Hình dạng con người
没有空闲中的工作台	Không có chỗ để làm việc
成功率:{0} 灵气:{1} 心境:{2}	Các cơ hội:
友好	Thân thiện
移除	Bỏ
{0}阶	ระดับ {0}
提示	เคล็ดลับ
收养	รับเลี้ยง
观察	เฝ้าสังเกตุ
昏迷	สลบ
关闭	ปิด
影响角色灵气抵挡伤害的能力。	(เกราะปราณ) ส่งผลต่อความสามารถในการป้องกัน\nยามเมื่อได้รับความเสียหายจากปราณของศัตรู
取消放置	ยกเลิกการวาง
修行	บ่มเพาะ
聆听	รับฟัง
（需要激活{0}才能挑战）	(ใช้งานได้หลังจากเปิดใช้งาน {0})
其他	อื่นๆ
正无所事事的消磨着时光	ทำสิ่งไร้สาระเพื่อฆ่าเวลา
无上大法	ชาระดับเหนือฟ้า
收藏	ความชื่นชอบ
请确认建造！	กรุณายืนยันการก่อสร้าง!
循环十次	Loop 10x
犹豫不决	ลังเล
庙	อาราม
defName=>{0} {1}_effect.sParam2 配置为空,应该配置物品名字！	độ phân giải trống ={0}{1}_sParam2!
受到天道异动的影响，无法禁足通灵物!	Bởi vì bản chất của ngọn nến, đối tượng không thể được giữ!
{1}\n读取中...{0}	đang nạp..
拆除	Hạ nó xuống
点击打开角色健康面板	Nhấn để mở trình đơn điện khí
在布施类事件中可收获影响值，在其他事件中也会有作用。	Tôi đã chịu ảnh hưởng của từ thiện. Và còn những hậu quả khác nữa
隋	Sui
消耗25点香火值，赐予神国期及修行者一名护法。	Dùng 25 tách hương, giao các Hộ Vệ cho Dan Tewa và huấn luyện viên
角色受上天眷顾的程度，影响角色概率相关的属性。	May mắn: thiên đàng yêu thích ảnh hưởng đến các giá trị liên quan đến cơ hội
从井里打水。	Nước từ giếng
最后一轮竞拍	Hiệp cuối!
晋升内门	Đi
拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气	Nhiều lần trong khi tòa nhà bị tàn phá cho đến khi gần như bị thương, tức giận với chính mình
凡俗之法	Trà thanh lịch
修炼	Tái sinh
弟子遵命！	Tuân lệnh!
{0}正在发挥药效	Thuốc có tác dụng rồi
刚结束今天的筑基功课	Vừa hoàn thành bài huấn luyện cơ bản hôm nay
人心叵测	Khá là đáng ngờ
初始化游戏数据失败，游戏将不能正常运行。请检查数据完整性和确认模组数据正确。\n依然要进入吗？	dữ liệu trò chơi bắt đầu thất bại. trò chơi không thể hoạt động tốt. vui lòng kiểm tra độ chính xác của tập tin trò chơi và kiểm tra xem thông tin chỉnh sửa của bạn là đúng. bạn có muốn tiếp tục không
冲煞之所	điềm xấu
击退强度 : {0:P0}	NĂNG LƯỢNG BƠM:
走路	Đi bộ
打开存档:{0}结果为:{1}	Mở tập tin an toàn:
照顾	Nhà duy trì
精元	Quyền lực
[color=#ff0000]拖动框选范围[/color]	[color=#ff000]
游戏有版本更新{0}	Phiên bản mới
购买（{0}元）	Mua ({0}
攻击	Tấn công
灵宠会优先食用低优先级的食物	Con thú của linh hồn sẽ tập trung vào thức ăn hạ cấp
男	Đàn ông
金属	Kim loại
烹饪	Nấu ăn
请先选择目标!	Hãy chọn mục tiêu!
{0}{1:F0}  {2}等级(提高上限)\n	CHIẾN THUẬT{2}( GIỚI HẠN HẠN PHÁT TRIỂN)
正心不在焉的制药作业中	Nấu như một cái đèn
任意元神期的修行者都可以将某些内门特质通过元神寄托赋予装备。	Bất cứ người nào có tinh thần sống sớm có thể đào sâu vào các thiết bị khác nhau
内丹灵气容量:	Bản chất của quái thú:
撰写内容	Ghi mục lục
五行：相同\n	năm nguyên tố: sự bình đẳng
可以预见，你对此人的劝化如[color=#ffa900]当头棒喝[/color]，直入其内心深处	sự thuyết phục của anh [color=#ffa900] đánh thức người này dậy và trả lời họ
正在专心的照顾他人	Tập trung vào bệnh nhân
[简介]\r\n	- [nói chi tiết]
历练故事	Một câu chuyện phiêu lưu
耗时：{0:N2}天	THỜI GIAN:
一个区域	Một khu vực
(等待安装)	Hey
\n寿元：{0:N0}({1:N0})	Được rồi
{0}营养：{1:N0}\n营养上限：100\n营养越高，对应的属性成长越快，消耗也越多，通过不同的饮食习惯来影响当前营养。	dinh dưỡng:{1:N0 100. Các chất dinh dưỡng càng tăng, các điều kiện liên quan càng phát triển nhanh và càng ăn nhiều. Bạn có thể lên kế hoạch rất nhiều chất dinh dưỡng
系统回调	System Callback
弥留({0:N0}秒)	CHẾT
在修理建筑之时，正感觉有点无聊	Sửa chữa xây dựng; cảm thấy hơi nhàm chán
敲响警钟,外门弟子会聚集到周围。	Hãy rung chuông gọi người ngoài đến khu vực này
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404] một công việc bao gồm: [/color] đốn gỗ, đốn gỗ
确定删除以下背景故事吗？\n\n{0}	bạn có muốn xoá nền này không
拥有者:{0}	Sở hữu:
祠	Ngôi đền của tổ tiên
是否确定凝取灵石，这将触发一场战斗。	Anh có chắc là anh sẽ bám vào tảng đá không? Nó sẽ gây ra một cuộc chiến
拉屎	Chết tiệt
<font color=#FF0000>(生食)</font>\n	<i>Subject
确定要删除存档{0}吗？这将不可逆转。	Anh chắc là muốn trừ đi chứ
{0}: {1:F2}/秒\n	{0}:{1:F2}/v
前往:目标点	Chuyển tới: Mục tiêu
请选择一个可以灵淬的物品	Chọn đối tượng muốn được sử dụng để định hình linh hồn
{0}心防无法瓦解(冷漠)	Không chịu mở lòng với anh
{0}之镇派法宝，乃是前代派中高人的贴身法器。但自从百年前便被封印，再无人启用，似乎在等待着什么。	Di sản quý giá của chủ nhân họ là vũ khí, nhưng nó đã bị niêm phong hơn 100 năm và không được sử dụng trong nhiều thế hệ. Có vẻ như hắn đang chờ gì đó. ...hay ai đó...
刷新设置	Thiết lập cập nhật
新建选项节点	Create New Options
影响角色施展咒法的能力。	Nó ảnh hưởng đến khả năng thực hiện câu thần chú của nhân vật
特效数据	Thông tin đầu ra đặc biệt
<font color=#D06508>[通灵]</font>\n	<b>Silence:</b>
无法选择该物品	Không thể chọn mục này
时年 {0:N0}岁	ĐƯỢC RỒI
[打开]\n防御及保护，开启后会自动反击发起攻击的敌人	an toàn và an toàn. kích hoạt và tự động chống lại kẻ thù
入库	Lưu
请选择一具死去的身体	Chọn một cái xác đi
<font color=#D06508>[药物]</font>\n	<i>Subject=
可生效{0}次	thời gian
参悟经验：{0}\n	ý tưởng:
编队	Nhóm
灵气:{0:N0}/{1:N0}	MẪU:
修行时杂念频起，正感觉有点生气	Có rất nhiều sự xao lãng trong việc luyện tập, cảm thấy tức giận với chính mình
屋顶	Mái nhà
由修行者夺舍而来，只要积累足够精元就可以开启灵智\n精元容量：{0:F0}/{1:F0} ({2:F0}%)	Sở hữu bởi huấn luyện viên có thể đánh thức trí thông minh miễn là nó thu thập đủ năng lượng vật lý:{0}/{1:F0}
六壬神算	Hỏi các vì sao
在拆地板之时，正觉得很爽快	Phá vỡ nó, cảm thấy tốt
消耗49点香火值，祖师分身下凡讲道，持续一天。(内门弟子会在选择周围的蒲团或者空地听讲)	Sử dụng bài thơ thứ 28, hình dạng của tổ tiên sẽ rơi xuống trái đất để nói chuyện một ngày
无	Không
激活中	Đang chạy
蓝图	Kế hoạch
角色当前灵力不足以驱动此术！	Một nhân vật chưa đủ mạnh!
药物	Thuốc giải
自制建筑蓝图	Tự làm bản vẽ của mình
{0}丢失了	Mất tích
它的	Nó..
任务	Nhiệm vụ
区域数据	Thông tin vùng
【新线索·{0}】	[Chỉ huy mới]
术法	Fort Worth
请选择秘籍	Chọn Kinh Thánh
蕴养这株灵植，调整灵植的养成趋势，并借此收获一些珍稀材料。	Cây linh hồn hấp thụ thức ăn để thêm chất dinh dưỡng và những vật liệu hiếm
生长度:{0:P0} 成熟度:{1:P0}	PHÁT TRIỂN:{0}, HOÀN HẢO:{1:P0}
设置的所需游戏版本比当前游戏版本更高，请确认	Phiên bản trò chơi bạn cần đặt lên trên phiên bản hiện thời. Kiểm tra đi
玄门秘籍	Nguyên gốc
当前阵图无内容，无法配置布局	Mô hình không có nội dung. Không thể đổ nó
藏经阁容量：{0}/{1}	Độ xoay:
[color=#FF0000]已达到最大等级[/color]	[color=#F0000] đã đạt tối đa [/color]
祭拜	Thờ phượng
救灾	Lính cứu hỏa
满目凋敝	Bị tiêu diệt
不是内门弟子	Đó không phải nội gián
<font color=#D06508>[灵器]</font>[color=#66FFFF]({0})[/color]\n	[ Màu mặt =#D6508] [Tìm vũ khí]
解锁神国建筑:[{0}]\n	mở khóa các cấu trúc ở danewa:
天气	Thời tiết
影响角色灵气最大值。	Nó ảnh hưởng đến số nhân vật cao nhất
壮减	Hạ cơ xuống
{0}{1}的线索	Một đầu mối cho{0}{1}
单击选择目标	Thiếu mục tiêu
正道中流	Thật vinh dự
建筑名非法	Tên của tòa nhà bất hợp pháp
游戏中有大量可以提高角色基础属性与技能的方法，而角色初始属性过高，可能对您的游戏体验造成较大地破坏，请谨慎考虑！	Trò chơi có rất nhiều cách để nâng cao địa vị và kỹ năng cơ bản của các nhân vật. Tuy nhiên, việc đặt giá trị khởi đầu cao hơn có thể hủy hoại kinh nghiệm trò chơi của bạn. Xin hãy suy nghĩ cẩn thận!
多次画符	Rất nhiều lần
阵法真意图鉴需要玩家结成包含对应真意的阵法来点亮。	Để mở rộng ý nghĩa thật sự của trại, trước tiên bạn phải xây một trại hoàn toàn cơ khí với những sự kiện đó
从{0}前往{1}	Từ{0} đến{1}
模组商店及万界天宫的内容(UGC)是由玩家所制作，这些内容可能会影响你的游戏体验，包括但不仅限于：内容不适、数值崩溃、历程失控等。我们未对这些分享内容进行任何功能和数值上的审核或者协助，您必须自行分辨并承担下载该内容的风险。	Cửa hàng Mod và nội dung của Woorkshop, được tạo ra bởi người chơi. Những nội dung này có thể đã ảnh hưởng đến kinh nghiệm trò chơi của bạn, bao gồm việc chúng tôi không tham gia vào việc tạo ra nội dung chia sẻ. Bạn phải tải về và tự đặt mình vào nguy hiểm
护体	Lá chắn
土壤肥沃	Đất đai màu mỡ
身手	Hành động
正心不在焉的种植中	Làm gì đi
真炁：{0:F0}/{1:F0}\n体修专属的战斗资源，会快速的恢复和消耗。真炁会随着境界的提升，身躯的淬炼而提升。	Bất động sản:{0}/{1:F0:1) Chỉ những huấn luyện viên của con đường bất tử mới có thể được lấp đầy và cất đi rất nhanh. Mệnh lệnh chân chính nhất sẽ đi lên với mức độ vô hình và tình trạng của huấn luyện viên
弟子女	Một nữ sinh
让其观察一个物品、建筑或植物，来获得对应的思绪。限于其低下的灵智，同一种思绪只能通过观察并记住一条。	Bảo họ quan sát mọi thứ, cấu trúc, cây cối. Để có được một ý tưởng nhất quán. Vì những lời hứa của Kinh Thánh có giới hạn. Vì vậy bạn chỉ có thể có một ý tưởng thông qua quan sát và trí nhớ
请选择认知	Chọn nhận thức
该物品不能作为赋灵对象	Thứ này không thể đánh thức linh hồn
 [失去]	[ mất tích]
确定派遣弟子要进入{0}吗？\n\t参与弟子有：\n{1}	anh có muốn cho đệ tử vào không
代理人正在赶来...	Ngài đại diện đang đến..
身上已经携带了法宝胚胎{0},无法穿戴多个	Không thể mặc một thứ
高	Cao
【解锁隐秘·{0}】	[Câu đố]
<font color=#D06508>[原材料]</font>\n{0}\n	<i>Subjcts< /i>
自身生长速度较慢，对周边环境产生较大的正面增益。	Tốc độ tăng chậm là tốt cho môi trường xung quanh nó
将一名修行者突破到结丹境界（选择角色，通过屏幕下方的人物面板，切换至练功模式，可以专攻修炼，以提高境界。）	Giúp huấn luyện viên đến chân gió, ấn nút. Để làm một ly. Trong khi vun trồng một nhân vật, nó sẽ tập trung vào sự phát triển
参悟经验：{0:F0}/{1:F0}	Ý TƯỞNG:
正在下载 ：	Tải về
景色绝美	Ấn tượng đấy
检测服务器MOD...	Test server mod…
{0}[color=#9e6404][挑战][/color]	[/color]
奖励发放失败,请稍后重试	Việc phân phối giải thưởng thất bại. Vui lòng gọi lại sau
{9}：{10:N2}%\n灵煞趋势：{8}{0:N2}/天\n　蕴养加成：{1}\n　天气加成：{2}\n　季节加成：{3}\n　五行加成：{4}\n　交感加成：{5}\n\n当前状态：{6}\n　{7}\n	{0}:{10:N2}% ▪
被{0}屠宰	Bị tách ra bởi{0}
寅时,黎明时分,平旦之时,五更时分,月沉西落,东方渐白	Khoảng 3 giờ. Mặt trời sắp chiếu sáng trong bóng tối
木	Gỗ
尝试突破瓶颈一次，不论成功与否。	Cố vượt qua các cạnh và vượt qua nó
影响生产事件中灵石和矿物的产量。	Nó ảnh hưởng đến sản lượng của đá, linh hồn và đá trong hầm mỏ
庄重的开启丹炉，准备炼丹	Giữ nhiệt độ cao
全局闪避：{0:P2}	NƠI TRÚ ẨN CHUNG:
请选择一个合适的突破地点	Chọn điểm thích hợp để phá vỡ ranh giới
打水	Vẽ nước
好的	Được rồi
{0} ({1}格)	Được rồi
进入场景	Vào không gian
未知	Không rõ
只能传授给低代弟子	Nó chỉ có thể được truyền cho thế hệ tiếp theo
历练中......	Cuộc phiêu lưu...
重载MapStory	Tải bản đồ
不能作为此技能的对象	Không thể là mục tiêu của hắn
[color=#009900][打开][/color]	[color=#009900][/color]
失落的灵智	Trí tuệ đã mất
突破{0}技能等级上限{1}	Phá cửa
下载 	Đang tải về
秘籍	Kinh thánh
采掘获取有用的材料。	Đào những vật liệu hữu ích
对灵气的感知能力，影响灵气护盾穿透率，法宝镇压几率。	Khả năng chạm vào sức mạnh sẽ ảnh hưởng đến việc phá vỡ bộ giáp và sự thôi thúc của vũ khí ma thuật
蓝图标签	Thẻ thiết kế
消息属性{0}存在问题	Chi tiết Lỗi
重试	Thử lại đi
已拥有	Sở hữu
分裂镇物	Tách kho báu
较为利于	Khá hữu ích
交互	Quay lại
别名	Bí danh
千	Hàng ngàn
境界不够({0}/{1})\n	trạng thái thấp ({ 0}/{1)
失败惩罚：	Hình phạt:
性别：{1}\n年龄：{0:N0}\n	Tình dục:
交流	Nói đi
否	Không
你对凡人的情感逐渐收敛，已经很少会有极端的狂喜或悲恸。得益于此，你对神力的掌握渐渐加深，但来自众生的那些平凡微小的信仰你已无法尽数感知。	Bạn có thể cảm thấy ít cảm xúc của con người hơn bạn có thể cảm thấy. Ngươi đã thích nghi với Kinh Lạy Cha. Nhưng bạn không thể hấp thụ tất cả đức tin của con người
傲慢	Tự hào
在拆地板之时，正在胡思乱想	Kéo ra khỏi sàn nhà, mất tập trung bởi suy nghĩ phân tâm
结丹时的天气对丹品的影响。	Thời tiết sẽ ảnh hưởng đến chất lượng của anh trong khi làm lõi vàng
无门无派	Không phải đồng minh
无法录入	Không thể sao chép
元神之法	Lớp người thiêng liêng thời ban đầu
尊掌门法旨！可是弟子尚为外门弟子，修为不足以忍受寒晶矿附近的酷寒。	tôi chỉ là người ngoài. tôi không thể chịu được cái lạnh gần mỏ
将置物台上的物品丢下。	Bỏ đồ ra khỏi sân ga
剩余时间:	Thời gian còn lại:
已存在同名文档，确定覆盖原存档吗？这将不可逆转。	Tìm thấy một hồ sơ cùng tên. Bạn có muốn thay thế các ghi chú gốc không
御器	Kỹ năng vũ khí pháp thuật
错误的控制器值:{0}	Giao thức không hợp lệ:{0}
总大小:	Cỡ:
捕获小动物。	Bắt một con thú nhỏ
身手({0:P0})\n上肢受伤会影响该值，身手影响大部分工作的效率。	Hành động ({ 0} Giá trị này sẽ bị ảnh hưởng khi cánh tay của nhân vật bị tổn thương. Hầu hết các màn diễn ảnh hưởng đến hiệu suất
请输入蓝图名称	Nhập tên cho bản vẽ
查阅	Nhìn kìa
刚完成收获，准备洗洗手收工	Chỉ cần hoàn thành thu hoạch, đi rửa và nghỉ ngơi
当前煞性	Chết tiệt
五行蕴养:\n	năm yếu tố:
在照顾别人的间余，刚小憩片刻	Chăm sóc bệnh nhân, nghỉ ngơi
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	tiềm năng: tiềm năng phát triển của nhân vật, tiềm năng của tuổi tác và gốc gác của nhân vật. Một khi nhân vật trở thành một người học việc, thứ này sẽ bị khóa và không thể thay đổi
铸体	Gelled Kaja
给路人提供帮助的次数	Anh đã giúp người lạ bao nhiêu lần rồi
资源解压失败	Lỗi ngắt tập tin tài nguyên
风水相宜	Foggi
复活中	Hồi sinh
我们强烈建议您在进行真仙模式前尽可能的熟悉游戏，真仙模式下您将会面临极大的挑战。\n确定要打开真仙模式吗？	chúng tôi đề nghị ông hiểu rõ trò chơi trước khi trở thành một chuyên gia. vì có rất nhiều thử thách, anh có chắc là muốn bắt đầu buổi diễn không?
未命名配置	Không dấu tên
炼宝	Một phát minh
送礼	Một món quà
未选择需要上传的内容	Bạn chưa chọn nội dung cần tải lên
{0}点 {1}	Những điểm
竹林深处	Bí ẩn trong rừng tre
在制药作业时，正感觉有点无聊	Nấu ăn; hơi chán
随机生成一个法宝	Bắt đầu ngẫu nhiên
灵气	Thừa tướng
数量：{0}	Số:
(等待更换材料)	(Người thay thế vật liệu)
卓越	Một chuyên gia
0/1次	0/1 lần
(休眠)	(Chỉ)
体修秘体	Guylan
无称号	Vô danh
活物组成	Thành phần sự sống
{0}{1:F0}  {2}等级	CẤP
{0}心防瓦解	Mở cửa rồi
精英	Nhà duy trì
归属：[color=#D06508]{0}[/color]\n	Sở hữu:
\n[color=#9e6404]不能共存：[/color]	hai người không thể học chung
请先为分堂选择专精。	Trước hết, hãy chọn chuyên gia thực địa
更新	Cập nhật
行商无法被转换阵营	Người thương nhân không thể bị thuyết phục tham gia triều đình
已激活	Bật
将一个物品灵淬	Hãy bắt đầu tiếp nhiên liệu cho các vật thể
输入数值	Vào
入驻	Đặt
丹药	Chết tiệt
神修在心境为“动”时，心境会自然提高，情绪越好，提高速度越快。	Khi bạn ở trong trạng thái tâm trí, "Nó chỉ tăng tự nhiên khi nó là một tâm trạng tốt
丢失	Mất rồi
女性	Một phụ nữ
晃眼	Ánh sáng
  \n当前进度:	  \nProgress:
{0}\n当前有{1}个门派的任务未完成	bây giờ đã có những công việc chưa hoàn thành
{0}品	Chất lượng
攻击威力: {0:F0}	QUYỀN TẤN CÔNG:
在修理建筑之时，正在胡思乱想	Xây dựng sửa chữa; bị phân tâm
上次保存时间:{0}{1}	Lần ghi lưu cuối cùng:
装备物品	Mặc thiết bị
请教	Nói đi
查阅秘籍。	Hãy nhìn vào Kinh Thánh
<font color=#D06508>[激活进度]</font>\n	<b>Silence:</b>
思绪：{0}/{1}	Tâm trí:
\n[color=#FF8B00]消耗平衡点:{0:N0}\n(内门弟子吞服天地灵气补充食物的速度与自身消耗食物的速度在此处达到平衡)[/color]	Sự cân bằng:
灵宠觉醒	Một con quái vật linh hồn thức tỉnh
可招揽:{0}/{1}	Đăng ký:
\n已达到道行上限	số lượng xúc xắc đã đến giới hạn
准备好仪轨符具，准备练习秘法	Chuẩn bị cho các nghi lễ và thực hành trồng trọt bí mật
门派	Văn phòng
存档标识	Thẻ an toàn
[NAME]通过从{2}获取的理智，对{3}的感知，对{4}的认知，产生了一点灵智碎片。	TÔI ĐÃ SUY NGHĨ MỘT CÁCH HỢP LÝ TỪ{2}, SỰ HIỂU BIẾT{3} VÀ ĐƯỢC BIẾT TỪ{4}, [ÔNG] ĐÃ TẠO RA MỘT TINH THỂ TRÍ THÔNG MINH
拼装耗时 : 	Thời gian tính:
年龄不足16岁,无法选择历世!	Dưới 16 tuổi, bạn không thể chọn trải nghiệm cuộc sống của mình!
正兴高采烈的赶路	Hãy bước đi với niềm vui
冷淡	Không hứng thú
数据格式有问题,解析失败，请检查配置数据!	Không thể thực hiện vấn đề định dạng dữ liệu. Vui lòng kiểm tra thông tin thiết lập!
{0}:{1} 需求:{2}\n	muốn:
无门派	Không văn phòng
内丹	Con quái vật
(总值)	(Tất cả)
潜力	Quyền lực
所修功法：{0}({2})\n{1}\n性别：{5}\n年龄：{3:N0}\n道行：{4:N0}	Đã hóa đá:{0} ({2}
巧匠	Một phát minh
挖土	Dig
{0}的尸体	Thân xác
埋葬	nhúng
他的	Của hắn
对弥留的角色进行灵魂拷问，尝试获得对方的秘密。\n拷问会加速角色死亡。	tra tấn linh hồn của những kẻ muốn ăn cắp bí mật của họ. linh hồn tra tấn giết các nhân vật nhanh hơn
购买妙法宝匣，可补充使用次数，是否前往购买？	Mua một cái hộp ma thuật để tăng số lượng sử dụng. Anh muốn mua không?
支付服务不可用,请稍后再试	Dịch vụ thanh toán không có. Vui lòng gọi lại sau
自定义	Tự chọn
爱好	Một sở thích
门派声望：{0:F0}\n声望来自于门派各个方面的行为。\n声望会影响来袭敌人的强度。\n声望会影响门派规模:\n山寨: 0\n门派: 500\n洞天: 2000	Anh đã có danh tiếng về những hành động liên quan đến Cục. - Zero
[模组]	[Mods]
该效果不能对灵兽起作用!	Điều này không thể áp dụng cho con thú của linh hồn!
前往{0}	Đi bộ tới{0}
击退抵抗 : {0:P0}	PHÂN BIỆT:
(发呆)	(Nói chuyện bất thường)
只有对炼丹之道有足够的造诣（20级以上），才能将这部分感悟寄托于装备。	Chỉ có những nhân vật có sự hiểu biết về sự sinh sản mới có mức độ cao. Họ sẽ có thể niêm phong kiến thức vào các thiết bị
等待激活	Tôi biết
_结局	Cuối
孵化进度：{0:N0}%\n	Đang nở:{0}%
是	Là
机缘	Chúc may mắn
新灵智	Trí tuệ mới
在修理建筑时，正忍不住神游天外	Sửa chữa tòa nhà
心境崩溃	Điên thật
框选铺设范围	Xin hãy chọn chỗ cho con cua
弟子男	Một nam sinh viên
红尘记	Người bình thường
男人	Đàn ông
\n来自：{0}	nguồn:
境界加成：{0}\n	phần thưởng trạng thái:
[{0}]证据不足\n	[{0] không đủ bằng chứng
随着时间推移，化妖天灾的影响越来越深了……	Theo thời gian, hậu quả của sự biến đổi của con quái vật đang gia tăng...
被迫服役	Bị buộc phải phục vụ
本局游戏永久生效	Có kết quả lâu dài trong trò chơi này
所选对话文件数据异常无法读取	Error. Cannot load the selected dialogue file.
\n点击建造	nhấn vào để tạo
阵法负荷	Gánh nặng của trại
历练值	Kĩ năng
环境脏乱	Nó dơ quá
水属性伤害减免: {0:P3}	PHÂN HỦY THÀNH PHẦN NƯỚC:
该物品不能食用	Thứ này không ăn được
有所收获	Anh có gì đó
此次思考将消耗所选思绪片段，产生{0}：{1}{2}，并清除所有未记忆的片段。是否确定？	Quá trình suy nghĩ về sử dụng tinh thể được chọn để tạo ra{0}:{1} Anh có muốn đứng lên không?
分类:{0}\n	phân loại:
创建XML文件成功!	TÀI LIỆU XML ĐƯỢC TẠO!
垃圾	Rác rưởi
正在乐呵呵的挖矿中	Tìm kiếm vui vẻ nhé
历练	Một cuộc phiêu lưu
{0} 缺少产出方式无法保存	Không chỉ ra cách gỡ bỏ vết thương
下一级参悟值：{0:F0}/{1:F0}\n提高道行: {3}\n{2}	Trình độ tiếp theo của ý tưởng:
{0}[color=#ff0000](错误)[/color]	{0}[color=#ff0000](Error)[/color]
在战斗中击败修行敌人的数量	Tổng số huấn luyện viên đã bị loại trừ trong trận chiến
重新建造这个建筑。	Sửa lại tòa nhà này
被突然的悲伤打断了修行	Bị gián đoạn bởi nỗi buồn đột ngột trong suốt quá trình huấn luyện
游戏中才能执行Lua	Lua chỉ có thể làm việc trong các trận đấu
妖族崛起	Tốt hơn rồi
单手武器	Một vũ khí
膳夫	Đầu bếp
自制物品	Đối tượng tự chọn
护法赐予	Giám Hộ
未知之物	Không rõ
赠送	Một món quà
经验加成	Giá trị kinh nghiệm
删除	Xoá
灵魂拷问	Tra tấn linh hồn
 秘籍:{0} 	KINH THÁNH:{0}
修改数值	Cấu hình trạng thái
御物	Kỹ năng vũ khí tinh linh
采掘	Dig
火劫	Hình phạt lửa
这将会打断当前工作，确认立即进行突破吗？	Bạn có muốn phá vỡ ranh giới?
招揽弟子	Tìm một sinh viên
新的异闻解锁	Bí mật mới được mở khóa
选择预览图	Chọn ô xem thử
驻扎中	Cắm trại
变身成妖形态	Hình dạng của một con quái vật
(被烧毁)	(Tiếng cháy)
自身生长速度很慢，对周边环境产生极大的正面增益。	Tỷ lệ tăng trưởng rất chậm
道行:{0}\n{1}	bảng:
手工制作	Điều khiển bằng tay
门派人数已达上限，不可送回代理人！	Số người trong tòa án đã đến giới hạn, không thể nhớ lại những người đại diện!
进攻	Tấn công
天下行商	Thương nhân thế giới
重生	Tái sinh
影响值	Quyền lực
道淬次数：{0}次\n	chảy xúc xắc:
此物品非常贵重。	Vật này rất hiếm và rất đắt
{0}对门派好感{1}{2:F0}点	TÙY THÍCH CỦA BẠN VỀ CÁC ĐIỂM VĂN PHÒNG
法宝转弯速度:	Tốc độ quay vũ khí ma thuật:
[color=#FFFFFF]该建筑升级需要达到{0}信仰人口[/color]	Dân số tín đồ phải [0] [/color]
角色思考的能力，影响角色的学习速度等属性。	Khả năng suy nghĩ của nhân vật ảnh hưởng đến tốc độ học tập
请选择一个理智思绪	Chọn lý trí
掌门	Sư phụ
上个存档正在写入，目前还不能再次存档。	Không thể lưu tập tin trước vẫn còn
增加神性	Nhiều thần linh hơn
正在苏醒...	Đứng dậy...
登陆失败，是否重新登陆	Lỗi ghi lưu. Anh muốn thử lại không?
驱逐	Đuổi học
摔倒	Thả xuống
训练	Tàu hỏa
封闭	Đóng dấu
中	Vừa
众生之相	Con người, sinh vật
木劫	Ngày phán xét
信仰天劫	Sự trừng phạt của đức tin
正在离开{0}	Thoát
